;Artermis_name;perf_name;AC40_name
0;Time;Time;tUTC
1;COG;COG;AC40.COG
2;CWA;CWA;AC40.CWA_n
3;HDG;HDG;AC40.HDG
;;CSE;AC40.Course
4;Heel;Heel;AC40.Heel
5;Helm;Helm;
6;HullAltitude;HullAltitude;AC40.HullAltitude
7;Leeway;Leeway;AC40.Leeway
8;Sink;Sink;RideHeight.Sink_ref
9;Speed;BSP_ms;AC40.Speed
;;SOG;AC40.SOG
10;Speed_kts;BSP;AC40.Speed_kts
11;TWA;TWA;AC40.TWA
12;TWD;TWD;AC40.TWD
13;TWS;TWS_ms;AC40.TWS
14;TWS_kts;TWS_kts;AC40.TWS_kts
15;Tgt_AWA;Tgt_AWA;AC40.Tgt.AWA_n
16;Tgt_CWA;Tgt_CWA;AC40.Tgt.CWA
17;Tgt_Clew;Tgt_Clew;AC40.Tgt.Clew
18;Tgt_DnCWA;Tgt_DnCWA;
19;Tgt_FoilCant;Tgt_FoilCant;
20;Tgt_FoilJunctionSink;Tgt_FoilJunctionSink;
21;Tgt_Heel;Tgt_Heel;AC40.Tgt.Heel
22;Tgt_JibCunningham;Tgt_JibCunningham;
23;Tgt_JibCunninghamLoad;Tgt_JibCunninghamLoad;AC40.Tgt.JibCunninghamLoad
24;Tgt_JibSheet;Tgt_JibSheet;
25;Tgt_JibSheetLoad;Tgt_JibSheetLoad;AC40.Tgt.JibSheetLoad
26;Tgt_JibTrack;Tgt_JibTrack;
27;Tgt_JibTrackAngle;Tgt_JibTrackAngle;AC40.Tgt.JibTrackAngle
28;Tgt_Leeway;Tgt_Leeway;AC40.Tgt.Leeway_n
29;Tgt_MainCunningham;Tgt_MainCunningham;
30;Tgt_MainCunninghamLoad;Tgt_MainCunninghamLoad;AC40.Tgt.MainCunninghamLoad
31;Tgt_MainFootCamber;Tgt_MainFootCamber;AC40.Tgt.MainFootCamber_n
32;Tgt_MainSheet;Tgt_MainSheetnoLoad;
33;Tgt_MainSheetLoad;Tgt_MainSheet;AC40.Tgt.MainSheetLoad
34;Tgt_MainTraveller;Tgt_MainTraveller;AC40.Tgt.MainTraveller
35;Tgt_Speed_kts;Tgt_BSP;AC40.Tgt.Speed_kts
36;Tgt_Trim;Tgt_Trim;AC40.Tgt.Trim
37;Tgt_UpCWA;Tgt_UpCWA;AC40.Tgt.UpCWA
38;Tgt_VMC_kts;Tgt_VMC_kts;AC40.Tgt.VMC_kts
39;Tgt_VMG_kts;Tgt_VMG;AC40.Tgt.VMG_kts
40;Trim;Trim;AC40.Trim
41;VMG_kts;VMG;AC40.VMG_kts
;;avg_wave_height;AC40.WaveHeightStats.Mean
;;std_wave_height;AC40.WaveHeightStats.Variance
42;x;x;AC40.Latitude
43;y;y;AC40.Longitude
44;Aero_Clew;Clew;
45;Aero_JibCunningham;JibCunningham;
46;Aero_JibCunninghamLoad_kg;JibCunninghamLoad_kg;AC40.Loads.JibCunninghamLoad
47;Aero_JibCunningham_mm;JibCunningham_mm;
48;Aero_JibMidCamber;JibMidCamber;
49;Aero_JibMidCamber_pc;JibMidCamber_pc;
50;Aero_JibSheet;JibSheet;
51;Aero_JibSheetLoad_kg;JibSheetLoad_kg;AC40.Loads.JibSheetLoad
52;Aero_JibSheet_mm;JibSheet_mm;
53;Aero_JibSheetingAngle;JibSheetingAngle;
54;Aero_JibTrack;JibTrack;AC40.Loads.JibTrackLoad
55;Aero_JibTrackAngle;JibTrackAngle;
56;Aero_JibTrack_n;JibTrack_n;
57;Aero_JibTwist;JibTwist;
58;Aero_MainClewLoad_kg;MainClewLoad_kg;
59;Aero_MainCunningham;MainCunningham;
60;Aero_MainCunninghamLoad_kg;MainCunninghamLoad_kg;AC40.Loads.MainCunninghamLoad_n
61;Aero_MainCunningham_mm;MainCunningham_mm;
62;Aero_MainFootCamberAngle;MainFootCamberAngle;
63;Aero_MainLoad_kg;MainLoad_kg;
64;Aero_MainMidCamber;MainMidCamber;
65;Aero_MainSheet;MainSheetnoLoad;
66;Aero_MainSheetLoad_N;MainSheet;AC40.Loads.MainSheetLoad
67;Aero_MainTraveller;MainTraveller;AC40.Loads.MainTravellerLoad_n
68;Aero_MainTwist;MainTwist;
69;Aero_MastRotation;MastRotation;
70;FoilPort_Cant;FoilPort_Cant;AC40.FoilPort.Cant
71;FoilPort_FlapAngle;FoilPort_FlapAngle;AC40.FoilPort.FlapAAV
72;FoilStbd_Cant;FoilStbd_Cant;AC40.FoilStbd.Cant
73;FoilStbd_FlapAngle;FoilStbd_FlapAngle;AC40.FoilStbd.FlapAAV
74;Rudder_Angle;Rudder_Angle;AC40.Rudder.Angle
75;Rudder_Rake;Rudder_Rake;AC40.Rudder.Rake
76;Rudder_Yaw;Rudder_Yaw;AC40.Rudder.Yaw
77;RaceCourse_StartTime;RaceCourse_StartTime;
78;RaceCourse_StartTimeUTC;RaceCourse_StartTimeUTC;
79;RaceCourse_Boundary_0_x;RaceCourse_Boundary_0_x;
80;RaceCourse_Boundary_0_y;RaceCourse_Boundary_0_y;
81;RaceCourse_Boundary_1_x;RaceCourse_Boundary_1_x;
82;RaceCourse_Boundary_1_y;RaceCourse_Boundary_1_y;
83;RaceCourse_Boundary_2_x;RaceCourse_Boundary_2_x;
84;RaceCourse_Boundary_2_y;RaceCourse_Boundary_2_y;
85;RaceCourse_Boundary_3_x;RaceCourse_Boundary_3_x;
86;RaceCourse_Boundary_3_y;RaceCourse_Boundary_3_y;
87;RaceCourse_Boundary_4_x;RaceCourse_Boundary_4_x;
88;RaceCourse_Boundary_4_y;RaceCourse_Boundary_4_y;
89;RaceCourse_Marks_BottomGatePort_x;RaceCourse_Marks_BottomGatePort_x;
90;RaceCourse_Marks_BottomGatePort_y;RaceCourse_Marks_BottomGatePort_y;
91;RaceCourse_Marks_BottomGateStbd_x;RaceCourse_Marks_BottomGateStbd_x;
92;RaceCourse_Marks_BottomGateStbd_y;RaceCourse_Marks_BottomGateStbd_y;
93;RaceCourse_Marks_Startx;RaceCourse_Marks_Startx;
94;RaceCourse_Marks_Starty;RaceCourse_Marks_Starty;
95;RaceCourse_Marks_StartPin_x;RaceCourse_Marks_StartPin_x;
96;RaceCourse_Marks_StartPin_y;RaceCourse_Marks_StartPin_y;
97;RaceCourse_Marks_TopGatePort_x;RaceCourse_Marks_TopGatePort_x;
98;RaceCourse_Marks_TopGatePort_y;RaceCourse_Marks_TopGatePort_y;
99;RaceCourse_Marks_TopGateStbd_x;RaceCourse_Marks_TopGateStbd_x;
100;RaceCourse_Marks_TopGateStbd_y;RaceCourse_Marks_TopGateStbd_y;